investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
WEH Ventures,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
Venture Catalysts,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
Soonicorn Ventures,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
FAAD Network,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
YourNest Venture Capital,,,,,Leanworx,Manufacturing Data Solutions,Seed Round,8.3,Bengaluru,
angel investment group,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Leanworx,Manufacturing Data Solutions,Seed Round,8.3,Bengaluru,
Ajinkya Rahane,,,,,Proxgy,IoT Solutions,Series A,3000000.0,Gurugram,
Nikhil Kamath,,,,,Proxgy,IoT Solutions,Series A,3000000.0,Gurugram,
Suniel Shetty,,,,,Proxgy,IoT Solutions,Series A,3000000.0,Gurugram,
Vinod Duggar,,,,,Proxgy,IoT Solutions,Series A,3000000.0,Gurugram,
Manish Patel,,,,,Proxgy,IoT Solutions,Series A,3000000.0,Gurugram,
Turbostart,,,,,KiranaPro,Quick Commerce,Seed Funding,,Bengaluru,
Unpopular Ventures,,,,,KiranaPro,Quick Commerce,Seed Funding,,Bengaluru,
Blume Founders Fund,,,,,KiranaPro,Quick Commerce,Seed Funding,,Bengaluru,
Snow Leopard Ventures,,,,,KiranaPro,Quick Commerce,Seed Funding,,Bengaluru,
GVFL,,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Mohit Tandon (Delhivery),,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Himanshu Aggarwal (Aspiring Minds),,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Vijay Shekhar Sharma,,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Aloke Bajpai,,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Rajnish Kumar,,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Narayan (Ather Energy),,,,,Naxatra Labs,Tech Solutions,Seed Funding,,Ahmedabad,
Sorenson Capital,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
PayPal Ventures,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
Commerce Ventures,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
GMO Venture Partners,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
Village Global,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
Quona Capital,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
XYZ Ventures,,,,,Bureau,Risk Intelligence,Series B,30000000.0,India,
Pavestone ($7.5M),,,,,Bizom,Retail Intelligence,Series B,12000000.0,Bengaluru,
IndiaMART,,,,,Bizom,Retail Intelligence,Series B,12000000.0,Bengaluru,
and family offices,,,,,Bizom,Retail Intelligence,Series B,12000000.0,Bengaluru,
Lightspeed,,,,,Seekho,Learning-focused OTT Platform,Series A,8000000.0,Bengaluru,
BP Technology Ventures,,,,,ZingBus,Intercity Mobility,Funding Round,59.0,Gurugram,
Angel investors,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,QuiD Cash,Supply Chain FinTech,Pre-Series A,4500000.0,Bengaluru,
including Piyush Jain,,,,,QuiD Cash,Supply Chain FinTech,Pre-Series A,4500000.0,Bengaluru,
and MINTCAP,,,,,QuiD Cash,Supply Chain FinTech,Pre-Series A,4500000.0,Bengaluru,
Ashish Kasholia (Lucky Investments),,,,,Inkers Technology,PropTech,Series A,3000000.0,Bengaluru,
ANBG Enterprise LLP (Godrej Family Office),,,,,Zunroof,Rooftop Solar,Funding Round,20.0,Gurugram,
Ravindernath Chadha,,,,,Zunroof,Rooftop Solar,Funding Round,20.0,Gurugram,
pi Ventures,,,,,Quanfluence,Photonic Quantum Technology,Seed Round,2000000.0,Bengaluru,
Golden Sparrow,,,,,Quanfluence,Photonic Quantum Technology,Seed Round,2000000.0,Bengaluru,
Reena Dayal,,,,,Quanfluence,Photonic Quantum Technology,Seed Round,2000000.0,Bengaluru,
Chiratae,,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
BoldCap,,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
Sparrow Capital,,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
SFMG Wealth Advisors,,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
Gregg Fisher (Quent Capital),,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
Better Capital,,,,,Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Mumbai,
India Quotient,,,,,Curie Money,FinTech Platform,Seed Round,1200000.0,Bengaluru,
institutional,,,,,Curie Money,FinTech Platform,Seed Round,1200000.0,Bengaluru,
angel investors,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Curie Money,FinTech Platform,Seed Round,1200000.0,Bengaluru,
Kalaari Capital (CXXO Initiative),,,,,Resilience AI,Climate Technology,Seed Round,1000000.0,Gurugram,
Transition VC,,,,,Fitsol,Decarbonization for Manufacturing,Seed Round,1000000.0,New Delhi,
Existing promoters,,,,,Fibroheal Woundcare,Medical Devices,Pre-Series A,6.3,Bengaluru,
surgeons,,,,,Fibroheal Woundcare,Medical Devices,Pre-Series A,6.3,Bengaluru,
medical professionals,,,,,Fibroheal Woundcare,Medical Devices,Pre-Series A,6.3,Bengaluru,
and bankers,,,,,Fibroheal Woundcare,Medical Devices,Pre-Series A,6.3,Bengaluru,
BizDateUp,,,,,VOICE,Electric Vehicles,Seed Round,5.0,Delhi,
Velocity,,,,,MBG Card,SaaS,Funding Round,2.72,Jabalpur,
Klub,,,,,MBG Card,SaaS,Funding Round,2.72,Jabalpur,
Temasek,,,,,Rebel Foods,Foodtech,Series G,210000000.0,Mumbai,
Evolvence,,,,,Rebel Foods,Foodtech,Series G,210000000.0,Mumbai,
Teachers’ Venture Growth (TVG),,,,,Mintifi,Supply-Chain Financing,Series E,180000000.0,Mumbai,
Prosus,,,,,Mintifi,Supply-Chain Financing,Series E,180000000.0,Mumbai,
Premji Invest,,,,,Mintifi,Supply-Chain Financing,Series E,180000000.0,Mumbai,
Khosla Ventures,,,,,Zetwerk,Contract Manufacturing,Fresh Funding,70000000.0,Bengaluru,
Baillie Gifford,,,,,Zetwerk,Contract Manufacturing,Fresh Funding,70000000.0,Bengaluru,
Rakesh Gangwal,,,,,Zetwerk,Contract Manufacturing,Fresh Funding,70000000.0,Bengaluru,
Navis Capital Partners,,,,,CarDekho SEA,Digital Automotive Solutions,External Funding Round,60000000.0,Singapore,
Dragon Fund,,,,,CarDekho SEA,Digital Automotive Solutions,External Funding Round,60000000.0,Singapore,
Creaegis,,,,,Haber,Industrial Robotics,Series C,44000000.0,Pune,
BEENEXT,,,,,Haber,Industrial Robotics,Series C,44000000.0,Pune,
Accel,,,,,Haber,Industrial Robotics,Series C,44000000.0,Pune,
Lightrock,,,,,SolarSquare,Solar Startup,Series B,40000000.0,Mumbai,
Elevation Capital,,,,,SolarSquare,Solar Startup,Series B,40000000.0,Mumbai,
Chris Sacca’s Lowercarbon,,,,,SolarSquare,Solar Startup,Series B,40000000.0,Mumbai,
Nithin Kamath’s Rainmatter,,,,,SolarSquare,Solar Startup,Series B,40000000.0,Mumbai,
Gruhas Proptech,,,,,SolarSquare,Solar Startup,Series B,40000000.0,Mumbai,
Kenro Capital,,,,,K12 Techno Services,EdTech - Schools,Investment,40000000.0,Bengaluru,
Avataar Ventures,,,,,LambdaTest,Cloud-Based Testing Platform,Funding Round,38000000.0,San Francisco,
Qualcomm Ventures,,,,,LambdaTest,Cloud-Based Testing Platform,Funding Round,38000000.0,San Francisco,
QED Investors,,,,,OneCard,Credit Card Issuance,Fresh Funding,25500000.0,Pune,
Z47,,,,,OneCard,Credit Card Issuance,Fresh Funding,25500000.0,Pune,
Better Tomorrow Ventures,,,,,OneCard,Credit Card Issuance,Fresh Funding,25500000.0,Pune,
M&G Catalyst,,,,,Pixxel,Spacetech,Series B (Additional Funding),24000000.0,Bengaluru,
Glade Brook Capital Partners,,,,,Pixxel,Spacetech,Series B (Additional Funding),24000000.0,Bengaluru,
Google,,,,,Pixxel,Spacetech,Series B (Additional Funding),24000000.0,Bengaluru,
Radical Ventures,,,,,Pixxel,Spacetech,Series B (Additional Funding),24000000.0,Bengaluru,
Prashasta Seth (Prudent Investment Manager),,,,,Snapmint,FinTech,Debt and Equity Round,18000000.0,Mumbai,
Perpetuity Ventures,,,,,Snapmint,FinTech,Debt and Equity Round,18000000.0,Mumbai,
Pegasus Fininvest,,,,,Snapmint,FinTech,Debt and Equity Round,18000000.0,Mumbai,
Titanium Ventures,,,,,RapidCanvas,AI Business Transformation,Series A,16000000.0,Austin,
Valley Capital Partners,,,,,RapidCanvas,AI Business Transformation,Series A,16000000.0,Austin,
BlueOrchard Microfinance Fund,,,,,Varthana,NBFC - Education Loans,Funding Round,15000000.0,Bengaluru,
Dia Vikas Capital,,,,,Avanti Finance,NBFC,Series B,14200000.0,Auckland,
IDH Farmfit Fund,,,,,Avanti Finance,NBFC,Series B,14200000.0,Auckland,
NRJN Family Trust,,,,,Avanti Finance,NBFC,Series B,14200000.0,Auckland,
Rabo Partnerships,,,,,Avanti Finance,NBFC,Series B,14200000.0,Auckland,
Amazon Smbhav Venture Fund,,,,,Orange Health Labs,Diagnostics & Healthcare,Funding Round,12000000.0,Bengaluru,
General Catalyst,,,,,Orange Health Labs,Diagnostics & Healthcare,Funding Round,12000000.0,Bengaluru,
Bertelsmann India Investments,,,,,Orange Health Labs,Diagnostics & Healthcare,Funding Round,12000000.0,Bengaluru,
Y Combinator,,,,,Orange Health Labs,Diagnostics & Healthcare,Funding Round,12000000.0,Bengaluru,
Goodwater Capital,,,,,Stage,Regional OTT Platform,Series B,84.6,Indore,
Blume Ventures,,,,,Stage,Regional OTT Platform,Series B,84.6,Indore,
British International Investment (BII),,,,,DCDC Kidney Care,Healthcare,Strategic Investment,82.0,New Delhi,
RTP Global,,,,,FirstClub,Quick Commerce,Funding Round,8000000.0,Bengaluru,
Quiet Capital,,,,,FirstClub,Quick Commerce,Funding Round,8000000.0,Bengaluru,
2am VC,,,,,FirstClub,Quick Commerce,Funding Round,8000000.0,Bengaluru,
Elevar Equity,Meetali.Mistry@iiflw.com,IN/AIF3/12-13/0016,Category III,Mumbai,FinX,Skilling Platform,Funding Round,6000000.0,Mumbai,
Info Edge Ventures,,,,,Culture Circle,Sneakers & Streetwear,Seed Round,2000000.0,Gurugram,
Ankur Capital,,,,,Superfone,SMB CRM App,Pre-Series A,1900000.0,Bengaluru,
Finsight Seed Fund,,,,,Superfone,SMB CRM App,Pre-Series A,1900000.0,Bengaluru,
Liquid 2 Ventures,,,,,Infinity,Business Banking,Equity Funding,1900000.0,Bengaluru,
Script Capital,,,,,Infinity,Business Banking,Equity Funding,1900000.0,Bengaluru,
Orios Venture Partners,,,,,Sustainiam,Climate Tech,Maiden Funding Round,1450000.0,Bengaluru,
Shilpa Shetty Kundra,,,,,Sustainiam,Climate Tech,Maiden Funding Round,1450000.0,Bengaluru,
Rajesh Sawhney,,,,,Sustainiam,Climate Tech,Maiden Funding Round,1450000.0,Bengaluru,
Harsh Vardhan Bhagchandka,,,,,Sustainiam,Climate Tech,Maiden Funding Round,1450000.0,Bengaluru,
Vinit Bhansali,,,,,Sustainiam,Climate Tech,Maiden Funding Round,1450000.0,Bengaluru,
Prarambh Ventures,,,,,Navanc,FinTech,Seed Round,1000000.0,Bengaluru,
Inflection Point Ventures (IPV),,,,,Navanc,FinTech,Seed Round,1000000.0,Bengaluru,
Brigade REAP,,,,,Navanc,FinTech,Seed Round,1000000.0,Bengaluru,
Recur Club,,,,,Kreedo Early Childhood Solutions,EdTech,Debt Funding,10.0,Bengaluru,
Jaipuria Family Office,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
Quadrant,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
100unicorn,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
DSGCP,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
Wipro Consumer,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
others,,,,,Power Gummies,D2C Gummies,Bridge Round,10.0,New Delhi,
iSEED,,,,,SaveSage Club,Credit Card Management,Angel Funding,2.5,Gurugram,
Alluvium Fund,,,,,SaveSage Club,Credit Card Management,Angel Funding,2.5,Gurugram,
LetsVenture Fund,,,,,SaveSage Club,Credit Card Management,Angel Funding,2.5,Gurugram,
Nazara Technologies,info@paulasset.com,IN/AIF3/24-25/1602,Category III,Kolkata,Nodwin Gaming,Gaming and Entertainment,Convertible Preferred Stock,64.0,Gurugram,
Artha Venture Fund,,,,,Atmosphere The Store Makers,Retail,Seed,5.0,Mumbai,
PIL Italica Lifestyle Limited,,,,,Atmosphere The Store Makers,Retail,Seed,5.0,Mumbai,
Undisclosed,,,,,Annapurna Finance,Financial Services,Multilateral ECB Transaction,109500000.0,Bhubaneswar,
Prudent Investment Managers,,,,,The Money Club,FinTech,Series A,2500000.0,Noida,
Fireside Ventures,,,,,Terractive,AgriTech,Pre-Series A,8.0,Mumbai,
DeVC (anchored by Z47),,,,,Terractive,AgriTech,Pre-Series A,8.0,Mumbai,
Ortella Global Capital (OG Capital),,,,,Medial,Media and Entertainment,Pre-Series A,500000.0,Bengaluru,
Zoho Corporation,,,,,Ultraviolette,EV Manufacturing,-,130.0,Bengaluru,
Lingotto Co-Invest Fund I,,,,,Ultraviolette,EV Manufacturing,-,130.0,Bengaluru,
Mudhal Partners,,,,,Ultraviolette,EV Manufacturing,-,130.0,Bengaluru,
DSG Consumer Partners,,,,,The Indus Valley,D2C Kitchenware,Pre-Series A,23.1,Chennai,
Kleiner Perkins,,,,,Enterpret,SaaS,Series A,20800000.0,India,
Wing Ventures,,,,,Enterpret,SaaS,Series A,20800000.0,India,
Recall Capital,,,,,Enterpret,SaaS,Series A,20800000.0,India,
Malabar Investment,,,,,Dentalkart,Dental Supplies Marketplace,-,85.0,New Delhi,
Whiteoak,,,,,Dentalkart,Dental Supplies Marketplace,-,85.0,New Delhi,
Singapore sovereign wealth firm GIC,,,,,Godrej Properties,Real Estate,QIP,6000.0,Mumbai,
SBI Pension,,,,,Godrej Properties,Real Estate,QIP,6000.0,Mumbai,
Capital-A,,,,,Agrileaf,Cleantech,Growth,2000000.0,"Belthangady Taluk, Daskshina Kannada District",
Samarsh Capital,,,,,Agrileaf,Cleantech,Growth,2000000.0,"Belthangady Taluk, Daskshina Kannada District",
IIM Lucknow,,,,,GoodLives,HealthTech,Pre-Seed,1.1,Gurugram,
Rabindranath Tagore University (RNTU),,,,,GoodLives,HealthTech,Pre-Seed,1.1,Gurugram,
Build3,,,,,GoodLives,HealthTech,Pre-Seed,1.1,Gurugram,
Rohan Bhargava,,,,,Bumboo,Eco-friendly Products,Angel,,New Delhi,
co-founder at CashKaro,,,,,Bumboo,Eco-friendly Products,Angel,,New Delhi,
UrbanPiper CEO Saurabh Gupta,,,,,Bumboo,Eco-friendly Products,Angel,,New Delhi,
SpotDraft Founder Shashank Bijapur,,,,,Bumboo,Eco-friendly Products,Angel,,New Delhi,
and NC Media founder Rajneil Kamath,,,,,Bumboo,Eco-friendly Products,Angel,,New Delhi,
Axilor Ventures,,,,,AdvantageClub.ai,HRTech,-,4000000.0,Gurugram,
PeakXV Spark,,,,,RaptorX,FinTech,Pre-Seed,4.0,India,
EagleWings Ventures,,,,,RaptorX,FinTech,Pre-Seed,4.0,India,
Point One Capital,,IN/AIF1/17-18/0321,Category I,,RaptorX,FinTech,Pre-Seed,4.0,India,
Tanglin Venture Partners,,,,,MasterChow,D2C Food Products,Series A,6500000.0,New Delhi,
Trifecta,,,,,Hygenco,Cleantech,Debt,50.0,Gurugram,
Nithin,,,,,SuperYou,FinTech,Series A,,Mumbai,
co-founders of Zerodha-backed venture firm Rainmatter,,,,,SuperYou,FinTech,Series A,,Mumbai,
Canaan Partners,,,,,Enterpret,AI Customer Feedback Platform,Series A,20800000.0,San Francisco,
Eight Roads Ventures,,,,,Laurus Bio,Biotechnology,Equity Investment,120.0,Bengaluru,
F-Prime Capital,,,,,Laurus Bio,Biotechnology,Equity Investment,120.0,Bengaluru,
Peak XV,,,,,OneCard,FinTech,Series D,28500000.0,Pune,
Domestic investors,,,,,Candytoy Corporate,Corporate Services,Series A,110.0,Bengaluru,
HNIs,,,,,Candytoy Corporate,Corporate Services,Series A,110.0,Bengaluru,
institutional investors,,,,,Candytoy Corporate,Corporate Services,Series A,110.0,Bengaluru,
Eurazeo,,,,,ALT Mobility,EV Leasing & Management,Series A,10000000.0,New Delhi,
Shell Ventures,,,,,ALT Mobility,EV Leasing & Management,Series A,10000000.0,New Delhi,
Twynam Earth Fund,,,,,ALT Mobility,EV Leasing & Management,Series A,10000000.0,New Delhi,
EV2 Ventures,,,,,ALT Mobility,EV Leasing & Management,Series A,10000000.0,New Delhi,
Bessemer Venture Partners,,,,,ShopDeck,D2C Tech,Series B,8000000.0,Bengaluru,
Venture Highway,,,,,ShopDeck,D2C Tech,Series B,8000000.0,Bengaluru,
and Chiratae Ventures,,,,,ShopDeck,D2C Tech,Series B,8000000.0,Bengaluru,
Prime Venture Partners,,,,,Elchemy,Specialty Chemicals,Series A,5600000.0,Ahmedabad,
InfoEdge Ventures,,,,,Elchemy,Specialty Chemicals,Series A,5600000.0,Ahmedabad,
Manish Choksi Family Office,,,,,All Things Baby,Baby & Mothercare,Series A,30.0,Mumbai,
Richa Choksi,,,,,All Things Baby,Baby & Mothercare,Series A,30.0,Mumbai,
Fireside Venture Investment Fund III,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
Dharana Capital,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
Shezan Bhojani,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
Saurabh Jain,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
Ramakant Sharma,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
Chandru Kalro,,,,,Beyond Appliances,Smart Kitchen Appliances,Seed,2000000.0,Bengaluru,
SBI Mutual Fund,,,,,Nazara Technologies,Gaming,Preferential Issue,855.0,Mumbai,
Caratlane founder Mithun Sacheti,,,,,Nazara Technologies,Gaming,Preferential Issue,855.0,Mumbai,
Aamara Capital,,,,,Nazara Technologies,Gaming,Preferential Issue,855.0,Mumbai,
Think Investments among others,,,,,Nazara Technologies,Gaming,Preferential Issue,855.0,Mumbai,
GEM Global Yield LLC SCS,,,,,WadzPay,Blockchain FinTech,Share Subscription Facility,50000000.0,Singapore,
Cactus Partners (CPL),,,,,ParkMate,Road Transport Tech,Pre-Series A,1200000.0,Uttar Pradesh,
100Unicorns,1008bharatgrowth@gmail.com,IN/AIF3/25-26/1864,Category III,Mumbai,Ukhi,Biomaterials,Pre-Seed,1200000.0,New Delhi,
Avtar Monga,,,,,Ukhi,Biomaterials,Pre-Seed,1200000.0,New Delhi,
Titan Capital,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Huddle Ventures,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Zeropearl Ventures,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Ashutosh Valani,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Priyank Shah,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Aashka Goradia Goble,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Ghazal Alagh,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Abhishek Goyal,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Anmol Jain,,,,,True Diamond,Retail Luxury Goods and Jewellery,Seed,1000000.0,Mumbai,
Symbiotics Group,,,,,NeoGrowth,Financial Services,Debt,5000000.0,Mumbai,
Motilal Oswal Private Wealth,,,,,Zepto,Quick Commerce,Funding Round,350000000.0,Mumbai,
Raamdeo Agarwal,,,,,Zepto,Quick Commerce,Funding Round,350000000.0,Mumbai,
Taparia Family Office,,,,,Zepto,Quick Commerce,Funding Round,350000000.0,Mumbai,
Mankind Pharma Family Office,,,,,Zepto,Quick Commerce,Funding Round,350000000.0,Mumbai,
Celebrity Investors,,,,,Zepto,Quick Commerce,Funding Round,350000000.0,Mumbai,
ChrysCapital,,,,,Healthkart,Health Supplements,Funding Round,153000000.0,Gurugram,
Motilal Oswal Alternates,,,,,Healthkart,Health Supplements,Funding Round,153000000.0,Gurugram,
Celesta Capital,,,,,OneCell Diagnostics,Cancer Diagnostics,Series A,16000000.0,Pune,
Tenacity Ventures,,,,,OneCell Diagnostics,Cancer Diagnostics,Series A,16000000.0,Pune,
Cedars Sinai,,,,,OneCell Diagnostics,Cancer Diagnostics,Series A,16000000.0,Pune,
Eragon,,,,,OneCell Diagnostics,Cancer Diagnostics,Series A,16000000.0,Pune,
Singularity Ventures,,,,,OneCell Diagnostics,Cancer Diagnostics,Series A,16000000.0,Pune,
Ecosystem Integrity Fund (EIF),,,,,Vecmocon,EV Components,Funding Round,10000000.0,New Delhi,
Aptos Labs,,,,,Kratos Gamer Network,Web3 Gaming,Funding Round,10000000.0,Tortola,
Polygon,,,,,Kratos Gamer Network,Web3 Gaming,Funding Round,10000000.0,Tortola,
Game7,,,,,Kratos Gamer Network,Web3 Gaming,Funding Round,10000000.0,Tortola,
IvyCap Ventures,,,,,Blitz,Omnichannel Delivery Platform,Series A,51.0,Bengaluru,
Inflexor Ventures,,,,,CredFlow,FinTech,Pre-Series B,3700000.0,New Delhi,
Singapore-based family office,,,,,CredFlow,FinTech,Pre-Series B,3700000.0,New Delhi,
Atomic Capital,,,,,Doodhvale Farms,Dairy,Series A,3000000.0,Sonepat,
Singularity Early Opportunities Fund,,,,,Doodhvale Farms,Dairy,Series A,3000000.0,Sonepat,
Bharat Founders Fund,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Doodhvale Farms,Dairy,Series A,3000000.0,Sonepat,
Chimes Group,,,,,Proost,Beer Startup,Series A,30.0,New Delhi,
Srinivasan Namala,,,,,Proost,Beer Startup,Series A,30.0,New Delhi,
Hyderabad Angels,,,,,Proost,Beer Startup,Series A,30.0,New Delhi,
The Chennai Angels,,,,,Proost,Beer Startup,Series A,30.0,New Delhi,
Rockstud Capital,,,,,Indic Wisdom,Wood-Pressed Oils,Pre-Series A,2000000.0,Mumbai,
Unicorn India Ventures,,,,,PeLocal,FinTech,Seed Funding,2000000.0,Chennai,
Pi Ventures,,,,,Theranautilus,Nanorobotics for Healthcare,Seed Funding,1200000.0,Bengaluru,
Sprout Venture Partners,,,,,Taqtics,SaaS Platform,Seed Round,1200000.0,Bengaluru,
Java Capital,,,,,Taqtics,SaaS Platform,Seed Round,1200000.0,Bengaluru,
Chittorgarh Infotech Limited,,,,,Matrix Geo Solutions,Drone & Space Tech,Pre-IPO Round,1000000.0,New Delhi,
Viney Equity Markets LLP,,,,,Matrix Geo Solutions,Drone & Space Tech,Pre-IPO Round,1000000.0,New Delhi,
Tryrock Capital Trust AIF,,,,,Matrix Geo Solutions,Drone & Space Tech,Pre-IPO Round,1000000.0,New Delhi,
Aprameya Radhakrishna,,,,,CADRE ODR,Online Dispute Resolution,Pre-Series A,200000.0,Bengaluru,
Murali Subramanian,,,,,CADRE ODR,Online Dispute Resolution,Pre-Series A,200000.0,Bengaluru,
Ram Bhamidi,,,,,CADRE ODR,Online Dispute Resolution,Pre-Series A,200000.0,Bengaluru,
Aneesh Garg,,,,,CADRE ODR,Online Dispute Resolution,Pre-Series A,200000.0,Bengaluru,
Rahul Guptan,,,,,CADRE ODR,Online Dispute Resolution,Pre-Series A,200000.0,Bengaluru,
ICONIQ Growth,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,UnifyApps,Enterprise AI Platform,Series A,20000000.0,Gurugram,
Epiq Capital,,,,,Bhanzu,EdTech,Funding Round,16500000.0,Hyderabad,
Alteria Capital,,,,,Wheelocity,Semi-urban Commerce,Extended Series A,15000000.0,Chennai,
Anicut Capital,,,,,Wheelocity,Semi-urban Commerce,Extended Series A,15000000.0,Chennai,
Company’s Founder,,,,,Wheelocity,Semi-urban Commerce,Extended Series A,15000000.0,Chennai,
Antares Ventures,,,,,The ePlane Company,Electric Aircraft,Series B,14000000.0,Chennai,
